relays,power_dbm,proposed,mpc,epc,bcd_iterations
3,20.0,0.7434540707119778,0.7510400905891887,0.7799473024935772,12
3,25.0,0.46354019118990014,0.47963617713902856,0.5366896031273183,12
3,30.0,0.16179385578236705,0.18107818781415747,0.24178569537886757,12
3,35.0,0.030761487769728847,0.035886893757141644,0.05889375769513552,12
3,40.0,0.003164960524139251,0.0036585101289969553,0.006660462950709633,12
3,45.0,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
5,20.0,0.6922179328344688,0.7077952632588763,0.7426037418839618,12
5,25.0,0.363856658041147,0.39656683030896467,0.46156701827522806,12
5,30.0,0.08973530742511995,0.11863403704653447,0.17258773690048468,12
5,35.0,0.009466687950078413,0.012579946401479618,0.02380410122476673,12
5,40.0,0.0002469331514537355,0.0003337473342541702,0.0007054596670661324,12
5,45.0,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
