relays,power_dbm,analytical,simulation,asymptotic
2,20.0,0.7825539030235571,0.7817921439582158,127.08222516040695
2,25.0,0.5423669456080833,0.5424381598717111,12.812189508605973
2,30.0,0.24266581799905917,0.24343405305417354,1.3126012596961685
2,35.0,0.06811127486641466,0.06860537120487151,0.14186495267351618
2,40.0,0.013564074141923699,0.013439112503602114,0.01804854693779632
2,45.0,0.003098936937740594,0.0031072462970391274,0.0035032201017901024
3,20.0,0.7434540707119778,0.7440960532230044,3166.4301203070204
3,25.0,0.46354019118990014,0.46337580898994535,101.37333221768996
3,30.0,0.16179385578236705,0.16192102772874378,3.284768080727125
3,35.0,0.030761487769728847,0.030625592741572973,0.11773675428413356
3,40.0,0.003164960524139251,0.003215541707717595,0.0053212834719206115
3,45.0,0.0003440845993767126,0.00033374160341063854,0.00042642851238188244
4,20.0,0.7148234171927795,0.7138125692873852,98352.97033383131
4,25.0,0.4072357499131833,0.408504895665867,998.4325949499159
4,30.0,0.1166070668153534,0.11661569120552498,10.283141440493745
4,35.0,0.01644708426461756,0.016393872133089647,0.12009902586842466
4,40.0,0.0008592980079219109,0.0008475606614456498,0.0018325483307726376
4,45.0,4.2735358579093295e-05,4.1528506203192935e-05,5.819035915046652e-05
