relays,c2,proposed,mpc,epc,bcd_iterations
3,5.0,0.0004267885582464558,0.0005409674044847,0.0007829611597901474,12
3,10.0,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
3,15.0,0.00028747907822385826,0.0003338236946606944,0.0007290262815037069,12
3,20.0,0.0002501214696202674,0.00029393512986669514,0.0007020588423604866,12
3,25.0,0.00022688427751869268,0.00026644403024941816,0.0006750914032172662,12
5,5.0,7.2293043582259065e-06,1.1612258115679543e-05,1.7236387003774326e-05,12
5,10.0,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
5,15.0,4.46952321010175e-06,5.798175329306042e-06,1.6142612896382716e-05,12
5,20.0,3.6621639657886486e-06,4.678588265141864e-06,1.5595725842686915e-05,12
5,25.0,3.0396610527739256e-06,3.906971645940202e-06,1.5048838788991108e-05,12
