relays,power_dbm,proposed,mpc,epc
3,20.0,0.266324637703481,0.336748482392144,0.407164397323901
3,25.0,0.258200183802395,0.32540941357015,0.402835654155484
3,30.0,0.136696688381712,0.168507681632075,0.255684735509536
3,35.0,0.020745257280303,0.025369225562236,0.045072424511284
3,40.0,0.001891738345923,0.002448911061162,0.004581183398826
3,45.0,0.0003003021913401628,0.0003868875497132436,0.0007322589865960053
5,20.0,0.209669859908559,0.336743748522443,0.393009342738353
5,25.0,0.200798802055281,0.318166073466413,0.386848003700569
5,30.0,0.076112687694038,0.110325632859382,0.185314968415424
5,35.0,0.003633827303367,0.005169837414084,0.010580331363797
5,40.0,8.411791378609919e-05,0.0001201113267863322,0.0002588609634161125
5,45.0,4.824672944059918e-06,7.248015608513087e-06,1.583227753116838e-05
