relays,power_dbm,proposed,mpc,epc
3,20.0,0.745900641952578,0.751029696722526,0.779933794612881
3,25.0,0.467865226175247,0.476237405654831,0.533542810990374
3,30.0,0.164147144085634,0.181032771817899,0.241724427068407
3,35.0,0.029076117639749,0.035120782306909,0.057728246315045
3,40.0,0.00307211570125,0.003640867216407,0.006628383809374
3,45.0,0.00032697600982,0.0003868875497132436,0.0007322589865960053
5,20.0,0.708282417247768,0.707785978892396,0.74259207437927
5,25.0,0.368737318082838,0.392908344242189,0.458077551941404
5,30.0,0.085408611840259,0.118595453325223,0.172535679730471
5,35.0,0.008260449356474,0.012178846822139,0.023089508799122
5,40.0,0.0002215551450218713,0.0003314372511262711,0.0007006244696455467
5,45.0,4.788825755163646e-06,7.248015608513087e-06,1.583227753116838e-05
