relays,power_dbm,analytical,simulation,asymptotic
2,20.0,0.305760806892569,0.305743742844584,83.18653351040076
2,25.0,0.298817647971216,0.299361262325381,8.226495245487762
2,30.0,0.190700446642973,0.190705429237304,0.823604342784902
2,35.0,0.052638965391623,0.052716201698234,0.091309986437699
2,40.0,0.010762073137318,0.011394796275373,0.014352146315098
2,45.0,0.003013863967086,0.003195227964187,0.003625511561384
3,20.0,0.266324637703481,0.266330449987742,1289.295314157553
3,25.0,0.258200183802395,0.258227907983548,39.818753272004294
3,30.0,0.136696688381712,0.137510055115134,1.370166627485847
3,35.0,0.020745257280303,0.021437848385484,0.051825941417726
3,40.0,0.001891738345923,0.002054092912295,0.002967409298593
3,45.0,0.0003003021913401628,0.0003195386469196932,0.0003991002502253254
4,20.0,0.234788202790628,0.234803904828684,21733.506085792
4,25.0,0.226131988209599,0.225742784841684,209.4622787679484
4,30.0,0.100875183316763,0.100852367822915,2.352299150424622
4,35.0,0.008175874674443,0.008701448627717,0.029084802094928
4,40.0,0.000387080413454612,0.0004058324789560805,0.0006765843956960151
4,45.0,3.638666355350213e-05,4.030481105234546e-05,5.427594904087587e-05
