relays,power_dbm,analytical,simulation,asymptotic
2,20.0,0.784791299186537,0.785605701957066,136.4285541062242
2,25.0,0.537842693544587,0.541208009237958,12.899667701601416
2,30.0,0.237177562356295,0.247379938266601,1.373344512416379
2,35.0,0.066935601518703,0.070290723799933,0.148973170189302
2,40.0,0.013507014372486,0.014168966344056,0.019057588387704
2,45.0,0.00301464103921,0.003196008232506,0.003631652802606
3,20.0,0.74556322720909,0.745900641952578,3335.669451873421
3,25.0,0.464694611805355,0.467865226175247,112.290619876321
3,30.0,0.157588148151834,0.164147144085634,3.434495119175819
3,35.0,0.028602011070569,0.029076117639749,0.111206625444968
3,40.0,0.00307211570125003,0.00307211570125003,0.005240156090587
3,45.0,0.0002998063265281879,0.0003269760098198878,0.0004093886545967478
4,20.0,0.712913847121456,0.713428897722509,98112.27163106295
4,25.0,0.400349511474167,0.421639006255739,1124.739839407673
4,30.0,0.112765635667821,0.120877081147362,10.683818971444062
4,35.0,0.014755417502488,0.015585752276475,0.113029814171504
4,40.0,0.000768620080428197,0.0008281757932677518,0.001785866541885
4,45.0,3.672826430415172e-05,3.9868835803847e-05,5.34576354421636e-05
