relays,c1,proposed,mpc,epc
3,1.0,0.0004450506267717587,0.0005160646424213778,0.0009279556299338465
3,3.0,0.0002998216475745477,0.0003868875497132436,0.0007322589865960053
3,5.0,0.0002336600332298127,0.0003361532815188921,0.0006656070655445287
3,7.0,0.0001896880141984277,0.0003072811298909252,0.0006290214235795144
3,9.0,0.0001571669429261504,0.0002880629160253279,0.0006050278851303576
5,1.0,6.989253280297969e-06,8.543495390489837e-06,1.909458314897458e-05
5,3.0,4.820666808990993e-06,7.248015608513087e-06,1.583227753116838e-05
5,5.0,3.717584779330702e-06,6.739216274813346e-06,1.475001889708592e-05
5,7.0,2.870453437494215e-06,6.449665798702941e-06,1.415813871496262e-05
5,9.0,2.251803818281689e-06,6.256931878263664e-06,1.377009838095712e-05
